sku,description
115P30125020,CHAPA INOX. 3000x1250x2 A316 2B + PVC
115130125025,"CHAPA INOX. 3000x1250x2,5 A316L 2B"
119130125025,"CHAPA INOX. 3000x1250x2,5 A430 2B"
111130125030,CHAPA INOX. 3000x1250x3 A304 2B
111P30125030,CHAPA INOX. 3000x1250x3 A304 2B + PVC
111530150008,"CHAPA INOX. 3000x1500x0,8 A304 PULIDO M+PVC"
111530150009,"CHAPA INOX. 3000x1500x0,8 A304 PULIDO M+PVC DETERIORADO"
111330150008,"CHAPA INOX. 3000x1500x0,8 A304 SATIN+PVC"
111330150010,CHAPA INOX. 3000x1500x1 A304 SATIN+PVC
115230150010,CHAPA INOX. 3000x1500x1 A316 BA+PVC
115530150010,CHAPA INOX. 3000x1500x1 A316 PULIDA M+PVC
115330150010,CHAPA INOX. 3000x1500x1 A316 SAT+PVC
115130150010,CHAPA INOX. 3000x1500x1 A316L 2B
11T130150010,CHAPA INOX. 3000x1500x1 A316TI 2B
119230150010,CHAPA INOX. 3000x1500x1 A430 BAP
119330150010,CHAPA INOX. 3000x1500x1 A430 SAT+PVC
111130150012,"CHAPA INOX. 3000x1500x1,2 A304 2B"
111P30150012,"CHAPA INOX. 3000x1500x1,2 A304 2B + PVC"
115330150012,"CHAPA INOX. 3000x1500x1,2 A316L SAT+PVC"
11T130150012,"CHAPA INOX. 3000x1500x1,2 A316TI 2B"
119330150012,"CHAPA INOX. 3000x1500x1,2 A430 SAT+PVC"
111130150015,"CHAPA INOX. 3000x1500x1,5 A304 2B"
111P30150015,"CHAPA INOX. 3000x1500x1,5 A304 2B + PVC"
111630150015,"CHAPA INOX. 3000x1500x1,5 A304 BA"
111230150015,"CHAPA INOX. 3000x1500x1,5 A304 BAP"
115130150015,"CHAPA INOX. 3000x1500x1,5 A316L 2B"
115330150015,"CHAPA INOX. 3000x1500x1,5 A316L SAT+PVC"
11T130150015,"CHAPA INOX. 3000x1500x1,5 A316TI 2B"
119130150015,"CHAPA INOX. 3000x1500x1,5 A430 2B"
111330150017,"CHAPA INOX. 3000x1500x1,7 A304 SATIN."
111230150100,CHAPA INOX. 3000x1500x10 A304 BA+PVC
111330150100,CHAPA INOX. 3000x1500x10 A304 SATIN+PVC
111430150100,CHAPA INOX. 3000x1500x10 A304L LC
115430150100,CHAPA INOX. 3000x1500x10 A316L LC
11T430150100,CHAPA INOX. 3000x1500x10 A316Ti 1.4571
116430150100,CHAPA INOX. 3000x1500x10 A321 LC
11T430150120,CHAPA INOX. 3000x1500x12 A316TI LC
111430150150,CHAPA INOX. 3000x1500x15 A304L LC
115430150150,CHAPA INOX. 3000x1500x15 A316L LC
11T430150150,CHAPA INOX. 3000x1500x15 A316Ti 1.4571
111430150160,CHAPA INOX. 3000x1500x16 A304L LC
111430150180,CHAPA INOX. 3000x1500x18 A304L LC
111130150020,CHAPA INOX. 3000x1500x2 A304 2B
111P30150020,CHAPA INOX. 3000x1500x2 A304 2B + PVC
111630150020,CHAPA INOX. 3000x1500x2 A304 BA
111230150020,CHAPA INOX. 3000x1500x2 A304 BAP
115230150020,CHAPA INOX. 3000x1500x2 A316 BA+PVC
115530150020,CHAPA INOX. 3000x1500x2 A316 PULIDA M+PVC
